??/?????/???,???????,CO,O3,NO2,SO2,PM10,Rel hum,Temp,Wind dir,Wind speed,PM2.5
,,at 3 m (ppm),at 3 m (ppb),at 3 m (ppb),at 3 m (ppb),at 3 m (???./??.?.),at 2 m (%RH),at 2 m ,at 10 m (Deg.M),at 10 m (m/s),at 3 m (???./??.?.)
170120,500,-,-,-,-,-,-,-,-,-,
170120,600,-,-,-,-,-,-,-,-,-,
170120,700,-,-,-,-,-,-,-,-,-,
170120,800,-,-,-,-,-,-,-,-,-,
170120,900,-,-,-,-,-,-,-,-,-,
170120,1000,-,-,-,-,-,-,-,-,-,
170120,1100,-,-,-,-,-,-,-,-,-,
170120,1200,-,-,-,-,-,-,-,-,-,
170120,1300,-,-,-,-,-,-,-,-,-,
170120,1400,-,-,-,-,-,-,-,-,-,
170120,1500,-,-,-,-,-,-,-,-,-,
170120,1600,-,-,-,-,-,-,-,-,-,
170120,1700,-,-,-,-,-,-,-,-,-,
170120,1800,-,-,-,-,-,-,-,-,-,
170120,1900,-,-,-,-,-,-,-,-,-,
170120,2000,-,-,-,-,-,-,-,-,-,
170120,2100,-,-,-,-,-,-,-,-,-,
170120,2200,-,-,-,-,-,-,-,-,-,
170120,2300,-,-,-,-,-,-,-,-,-,
170120,2400,-,-,-,-,-,-,-,-,-,
170121,100,-,-,-,-,-,-,-,-,-,
170121,200,-,-,-,-,-,-,-,-,-,
170121,300,-,-,-,-,-,-,-,-,-,
170121,400,-,-,-,-,-,-,-,-,-,
170121,500,-,-,-,-,-,-,-,-,-,
170121,600,-,-,-,-,-,-,-,-,-,
170121,700,-,-,-,-,-,-,-,-,-,
170121,800,-,-,-,-,-,-,-,-,-,
170121,900,-,-,-,-,-,-,-,-,-,
170121,1000,-,-,-,-,-,-,-,-,-,
170121,1100,-,-,-,-,-,-,-,-,-,
170121,1200,-,-,-,-,-,-,-,-,-,
170121,1300,-,-,-,-,-,-,-,-,-,
